concept_id,preferred_label,canonical_path,queue_path,path_alignment,workbook_description,workbook_sha256
AOM_000803,Layer Concentrate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Concentrate/Layer Concentrate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Concentrate/Layer Concentrate,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000804,Total Mixed Ration,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Total Mixed Ration,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Total Mixed Ration,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000805,Imported Concentrate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Concentrate/Imported Concentrate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Concentrate/Imported Concentrate,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000807,Prebiotic,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Prebiotic,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Prebiotic,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000808,Fumaric Acid,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Organic Acid/Fumaric Acid,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Organic Acid/Fumaric Acid,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000809,Essential Fatty Acid,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Essential Fatty Acid,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Essential Fatty Acid,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000811,Herb or Extract,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Herb or Extract,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Herb or Extract,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_001066,Cobalt,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Cobalt,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Cobalt,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_001067,Copper Sulfate Anhydrous,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Copper/Copper Sulfate Anhydrous,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Copper/Copper Sulfate Anhydrous,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_001068,Pseudovitamin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Pseudovitamin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Pseudovitamin,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_001091,Anti-mycotoxin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Anti-mycotoxin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Anti-mycotoxin,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_001097,Pig Manure,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Pig /Pig Manure,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Pig/Pig Manure,workbook_path_differs,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_001105,Lake Shells,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Shell/Lake Shells,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Shell/Lake Shells,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_001115,Trout,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Trout,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Trout,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_001135,Calycotome villosa,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Calycotome villosa,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Calycotome villosa,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
