concept_id,preferred_label,ingredient_family,source_identity_candidate,component_candidates,process_candidates,form_candidates,quality_candidates,normalized_signature,confidence,review_route,exception_reason,definition_status,governance_state,status,rule_version
AOM_001362,Soybean Flakes Defatted Extruded,Crop Byproduct,soybean flakes,,Defatting;Extrusion,,,soybean flakes||Defatting;Extrusion||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001364,Soybean Full Fat Roasted,Crop Product,soybean full fat,,Roasting,,,soybean full fat||Roasting||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001365,Sorghum Sprout,Crop Product,sorghum sprout,,,,,sorghum sprout||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001366,Guar Gum Ground,Crop Byproduct,guar gum,,Grinding,,,guar gum||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001367,Ammonium Chloride,Supplement,ammonium chloride,,,,,ammonium chloride||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001368,Ammonium Sulphate,Supplement,ammonium sulphate,,,,,ammonium sulphate||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001369,Calcium Bicarbonate,Supplement,calcium bicarbonate,,,,,calcium bicarbonate||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001370,Calcium Carbonate,Supplement,calcium carbonate,,,,,calcium carbonate||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001371,Calcium Oxide,Supplement,calcium oxide,,,,,calcium oxide||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001372,Calcium Phosphate,Supplement,calcium phosphate,,,,,calcium phosphate||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001373,Cellulose,Other Ingredients,cellulose,,,,,cellulose||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001374,Gelatin,Other Ingredients,gelatin,,,,,gelatin||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001375,Choline Cloride Ground,Supplement,choline cloride,,Grinding,,,choline cloride||Grinding||,high,rule_application_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_001376,Dexapanthenol,Supplement,dexapanthenol,,,,,dexapanthenol||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001377,Methionine,Supplement,methionine,,,,,methionine||||,high,retain_atomic_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_001378,Magnesium Oxide,Supplement,magnesium oxide,,,,,magnesium oxide||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001379,Andropogon,Forage Plants,andropogon,,,,,andropogon||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001380,Andropogon gayanus,Forage Plants,andropogon gayanus,,,,,andropogon gayanus||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001381,Andropogon gayanus Ensiled,Forage Plants,andropogon gayanus,,Ensiling,,,andropogon gayanus||Ensiling||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001382,Andropogon abyssinica,Forage Plants,andropogon abyssinica,,,,,andropogon abyssinica||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001383,Andropogon guianensis,Forage Plants,andropogon guianensis,,,,,andropogon guianensis||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001385,Brachiaria brizantha,Forage Plants,brachiaria brizantha,,,,,brachiaria brizantha||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001386,Hordeum vulgare Dried,Forage Plants,hordeum vulgare,,Drying,,,hordeum vulgare||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001388,Digitaria abyssinica,Forage Plants,digitaria abyssinica,,,,,digitaria abyssinica||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001389,Digitaria decumbens,Forage Plants,digitaria decumbens,,,,,digitaria decumbens||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001390,Digitaria nodosa,Forage Plants,digitaria nodosa,,,,,digitaria nodosa||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001391,Digitaria smutsii,Forage Plants,digitaria smutsii,,,,,digitaria smutsii||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001392,Digitaria ternota,Forage Plants,digitaria ternota,,,,,digitaria ternota||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001393,Eragrostis curvula,Forage Plants,eragrostis curvula,,,,,eragrostis curvula||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001395,Bracharia,Forage Plants,bracharia,,,,,bracharia||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001396,Bracharia Dried,Forage Plants,bracharia,,Drying,,,bracharia||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001397,Bracharia decumbens,Forage Plants,bracharia decumbens,,,,,bracharia decumbens||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001398,Brachiaria ruziziensis,Forage Plants,brachiaria ruziziensis,,,,,brachiaria ruziziensis||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001399,Brachiaria serrata,Forage Plants,brachiaria serrata,,,,,brachiaria serrata||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001400,Cenchrus ciliaris Dried,Forage Plants,cenchrus ciliaris,,Drying,,,cenchrus ciliaris||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001401,Chloris,Forage Plants,chloris,,,,,chloris||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001402,Chloris gayana,Forage Plants,chloris gayana,,,,,chloris gayana||||,high,retain_atomic_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_001404,Hyparrhenia Dried,Forage Plants,hyparrhenia,,Drying,,,hyparrhenia||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001405,Hyparrhenia rufa,Forage Plants,hyparrhenia rufa,,,,,hyparrhenia rufa||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001407,Panicum maximum,Forage Plants,panicum maximum,,,,,panicum maximum||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001408,Panicum maximum Straw,Forage Plants,panicum maximum,Straw,,,,panicum maximum|Straw|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001409,Pennisetum clandestinum,Forage Plants,pennisetum clandestinum,,,,,pennisetum clandestinum||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001410,Pennisetum clandestinum Ensiled,Forage Plants,pennisetum clandestinum,,Ensiling,,,pennisetum clandestinum||Ensiling||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001411,Pennisetum clandestinum Ground,Forage Plants,pennisetum clandestinum,,Grinding,,,pennisetum clandestinum||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001412,Pennisetum mezianum,Forage Plants,pennisetum mezianum,,,,,pennisetum mezianum||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001413,Pennisetum pedicellatum,Forage Plants,pennisetum pedicellatum,,,,,pennisetum pedicellatum||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001415,Mineral Mix,Supplement,mineral mix,,,,,mineral mix||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
