concept_id,scheme_id,module,concept_type,notation,status,hierarchy_level,derived_path,source_row
AOM_006255,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006255,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Tithonia diversifolia/Tithonia diversifolia Ensiled Wilted,1469
AOM_001175,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001175,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Unspecified Indigenous Trees,1470
AOM_003694,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003694,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vachellia erioloba,1471
AOM_006212,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006212,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vachellia polyacantha/Vachellia polyacantha Leaves/Vachellia polyacantha Leaves Ground,1472
AOM_001600,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001600,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vachellia polyacantha/Vachellia polyacantha Leaves,1473
AOM_003693,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003693,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vachellia polyacantha,1474
AOM_006208,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006208,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vernonia amygdalina/Vernonia amygdalina Dried Ground,1475
AOM_006207,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006207,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vernonia amygdalina/Vernonia amygdalina Ground,1476
AOM_006210,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006210,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vernonia amygdalina/Vernonia amygdalina Leaves/Vernonia amygdalina Leaves Crushed Dried,1477
AOM_006209,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006209,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vernonia amygdalina/Vernonia amygdalina Leaves/Vernonia amygdalina Leaves Dried,1478
