"concept_id","property","value","value_type","source_column"
"era:practice:d17.4","legacy_subpractice_code","FA+AM","string","Subpractice.Code"
"era:practice:d17.4","legacy_short_label","Feed Manure (Add)","string","Subpractice.S"
"era:practice:d17.4","short_suffix","Add","string","Subpractice.Suffix"
"era:practice:d17.4","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d17.4","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d17.4","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d17.5","legacy_subpractice_code","FA+O","string","Subpractice.Code"
"era:practice:d17.5","legacy_short_label","Feed Other (Add)","string","Subpractice.S"
"era:practice:d17.5","short_suffix","Add","string","Subpractice.Suffix"
"era:practice:d17.5","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d17.5","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d17.5","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d18.1","legacy_subpractice_code","FS+CF","string","Subpractice.Code"
"era:practice:d18.1","legacy_short_label","Feed Crop (Sub)","string","Subpractice.S"
"era:practice:d18.1","short_suffix","Sub","string","Subpractice.Suffix"
"era:practice:d18.1","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d18.1","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d18.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d18.2","legacy_subpractice_code","FS+NC","string","Subpractice.Code"
"era:practice:d18.2","legacy_short_label","Feed NonCrop (Sub)","string","Subpractice.S"
"era:practice:d18.2","short_suffix","Sub","string","Subpractice.Suffix"
"era:practice:d18.2","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d18.2","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d18.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d18.3","legacy_subpractice_code","FS+AF","string","Subpractice.Code"
"era:practice:d18.3","legacy_short_label","Feed AgFor (Sub)","string","Subpractice.S"
"era:practice:d18.3","short_suffix","Sub","string","Subpractice.Suffix"
"era:practice:d18.3","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d18.3","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d18.3","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d18.4","legacy_subpractice_code","FS+AM","string","Subpractice.Code"
"era:practice:d18.4","legacy_short_label","Feed Manure (Sub)","string","Subpractice.S"
"era:practice:d18.4","short_suffix","Sub","string","Subpractice.Suffix"
"era:practice:d18.4","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d18.4","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d18.4","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d18.5","legacy_subpractice_code","FS+O","string","Subpractice.Code"
"era:practice:d18.5","legacy_short_label","Feed Byproducts (Sub)","string","Subpractice.S"
"era:practice:d18.5","short_suffix","Sub","string","Subpractice.Suffix"
"era:practice:d18.5","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d18.5","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d18.5","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d22.1","legacy_subpractice_code","FP+Ch","string","Subpractice.Code"
"era:practice:d22.1","legacy_short_label","Feed Chem Process","string","Subpractice.S"
"era:practice:d22.1","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d22.1","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d22.1","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d22.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d22.2","legacy_subpractice_code","FP+Me","string","Subpractice.Code"
"era:practice:d22.2","legacy_short_label","Feed Mech Process","string","Subpractice.S"
"era:practice:d22.2","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d22.2","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d22.2","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d22.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d22.3","legacy_subpractice_code","FP+Co","string","Subpractice.Code"
"era:practice:d22.3","legacy_short_label","Feed Concentrates","string","Subpractice.S"
"era:practice:d22.3","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d22.3","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d22.3","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d22.3","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d9","legacy_subpractice_code","GI-Im","string","Subpractice.Code"
"era:practice:d9","legacy_short_label","Breed Impr","string","Subpractice.S"
"era:practice:d9","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d9","linked_table","Var.Out","string","Linked.Tab"
"era:practice:d9","linked_column","V.Level.Name","string","Linked.Col"
"era:practice:d9","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d10","legacy_subpractice_code","GI-Hy","string","Subpractice.Code"
"era:practice:d10","legacy_short_label","Breed Hybrid","string","Subpractice.S"
"era:practice:d10","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d10","linked_table","Var.Out","string","Linked.Tab"
"era:practice:d10","linked_column","V.Level.Name","string","Linked.Col"
"era:practice:d10","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d13","legacy_subpractice_code","MM-Co","string","Subpractice.Code"
"era:practice:d13","legacy_short_label","Manure Collection","string","Subpractice.S"
"era:practice:d13","short_suffix","NA","string","Subpractice.Suffix"
