"concept_id","language","label_type","label","source_column"
"era:practice:b31","en","pref","Intercrop Rotation","Subpractice"
"era:practice:b31","en","alt","Rotation (Int Only)","Subpractice.S"
"era:practice:b48.1","en","pref","Double Cropping (N fixing & Non N fixing)","Subpractice"
"era:practice:b48.2","en","pref","Double Cropping (Non N fixing)","Subpractice"
"era:practice:b48.3","en","pref","Double Cropping (N fixing)","Subpractice"
"era:practice:b48.4","en","pref","Double Cropping (Monocrop)","Subpractice"
"era:practice:b49.1","en","pref","Sequential Intercropping (N fixing & Non N fixing)","Subpractice"
"era:practice:b49.2","en","pref","Sequential Intercropping (Non N fixing)","Subpractice"
"era:practice:b49.3","en","pref","Sequential Intercropping (N fixing)","Subpractice"
"era:practice:b61.1","en","pref","Relay Intercropping (N fixing & Non N fixing)","Subpractice"
"era:practice:b61.2","en","pref","Relay Intercropping (Non N fixing)","Subpractice"
"era:practice:b61.3","en","pref","Relay Intercropping (N fixing)","Subpractice"
"era:practice:b13.3","en","pref","Relay Green Manure (N fixing & Non N fixing)","Subpractice"
"era:practice:b12.3","en","pref","Relay Green Manure (Non N fixing)","Subpractice"
"era:practice:b11.3","en","pref","Relay Green Manure (N fixing)","Subpractice"
"era:practice:b25","en","pref","Intercrop (N fixing & Non N fixing)","Subpractice"
"era:practice:b25","en","alt","Intercrop (Mixed)","Subpractice.S"
"era:practice:b50.1","en","pref","Intercrop (Non N fixing)","Subpractice"
"era:practice:b50.1","en","alt","Intercrop (nonNfix)","Subpractice.S"
"era:practice:b50.2","en","pref","Intercrop (N fixing)","Subpractice"
"era:practice:b50.2","en","alt","Intercrop (Nfix)","Subpractice.S"
"era:practice:b50.3","en","pref","Complex Intercrop","Subpractice"
"era:practice:b50.3","en","alt","Intercrop (Complex)","Subpractice.S"
"era:practice:b50.4","en","pref","Intercrop (Unspecified)","Subpractice"
"era:practice:b50.4","en","alt","Intercrop (Unsp.)","Subpractice.S"
"era:practice:b55.1","en","pref","Partial Intercrop (N fixing & Non N fixing)","Subpractice"
"era:practice:b55.1","en","alt","Intercrop (Part; Mixed)","Subpractice.S"
"era:practice:b55.2","en","pref","Partial Intercrop (Non N fixing)","Subpractice"
"era:practice:b55.2","en","alt","Intercrop (Part; nonNfix)","Subpractice.S"
