case_id,concept_id,preferred_label,hierarchy_path,source_context,component_or_form_terms,process_terms,definition_status,lexical_collision_keys,feedipedia,agrovoc,cpc_product,review_status,proposed_disposition,reviewer,review_date,rationale
CEREAL-006257,AOM_006257,Themeda triandra Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Themeda triandra/Themeda triandra Dried Ground,Themeda triandra,,dried;ground,present,,https://www.feedipedia.org/node/12881,,,review-required,,,,
CEREAL-006256,AOM_006256,Themeda triandra Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Themeda triandra/Themeda triandra Ground,Themeda triandra,,ground,present,,https://www.feedipedia.org/node/12881,,,review-required,,,,
CEREAL-001450,AOM_001450,Themeda triandra,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Themeda triandra,Themeda triandra,,,present,,https://www.feedipedia.org/node/12881,,,review-required,,,,
CEREAL-001522,AOM_001522,Tripsacum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Tripsacum,Tripsacum,,,present,,,,,review-required,,,,
CEREAL-001523,AOM_001523,Tripsacum laxum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Tripsacum laxum,Tripsacum laxum,,,present,,https://www.feedipedia.org/node/12169,,,review-required,,,,
CEREAL-006251,AOM_006251,Tristachya leucothrix Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Tristachya leucothrix/Tristachya leucothrix Ground,Tristachya leucothrix,,ground,present,,,,,review-required,,,,
CEREAL-003104,AOM_003104,Tristachya leucothrix,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Tristachya leucothrix,Tristachya leucothrix,,,present,,,,,review-required,,,,
CEREAL-001452,AOM_001452,Triticale,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Triticale,Triticale,,,present,,https://www.feedipedia.org/node/12800,,,review-required,,,,
CEREAL-001455,AOM_001455,Triticum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Triticum,Triticum,,,present,,https://www.feedipedia.org/node/12761,,,review-required,,,,
CEREAL-006250,AOM_006250,Typha domingensis Ensiled Wilted,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Typha domingensis/Typha domingensis Ensiled Wilted,Typha domingensis,,ensiled;wilted,present,,,,,review-required,,,,
