concept_id,preferred_label,recommended_route,public_mapping_schemes,public_mapping_targets
AOM_001126,Afzelia africana,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_162641;wfo-0000213207
AOM_001128,Annona senegalensis,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_306945;wfo-0000537928
AOM_001136,Carissa edulis,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_992661;wfo-0000803249
AOM_001137,Chamaecytisus palmensis,research_taxon_insufficient_for_material,cpc-component;world-flora-online,01919.9;wfo-0000186655
AOM_001139,Daniellia oliveri,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_162735;wfo-0000166281
AOM_001142,Erythrina brucei,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_1232591;wfo-0000180564
AOM_001144,Euclea schimperi,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_570501;wfo-0000681132
AOM_001147,Ficus thonningii,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_309310;wfo-0000690599
AOM_001153,Hoodia gordonii,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_197266;wfo-0001104548
AOM_001167,Opuntia ficus indica Juice,research_taxon_insufficient_for_material,ncbi-taxonomy;world-flora-online,http://purl.obolibrary.org/obo/NCBITaxon_371859;wfo-0000385761
AOM_001171,Prosopis africana,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_433926;wfo-0000168965
AOM_001174,Sesbania goetzei,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_1332686;wfo-0000178101
AOM_001180,Common Bean Tops,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01701;http://purl.obolibrary.org/obo/NCBITaxon_3885;wfo-0000207144
AOM_001181,Chickpea Haulm,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01249;http://purl.obolibrary.org/obo/NCBITaxon_3917;wfo-0000196617
AOM_001185,Linseed,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,2166;http://purl.obolibrary.org/obo/NCBITaxon_13894;wfo-0000903570
AOM_001193,Groundnut Oil,research_public_ontology,agrovoc;cpc-product;ncbi-taxonomy;world-flora-online,2162;http://aims.fao.org/aos/agrovoc/c_35679;http://purl.obolibrary.org/obo/NCBITaxon_3818;wfo-0000174378
AOM_001201,Avocado,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01311;http://purl.obolibrary.org/obo/NCBITaxon_3435;wfo-0000465160
AOM_001205,Aeschynomene histrix,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_561487;wfo-0000183514
AOM_001206,Anthyllis tetraphylla,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_118890;wfo-0000205978
AOM_001209,Desmodium,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_53866;wfo-4000011206
AOM_001211,Desmodium distortum,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_1125888;wfo-0000177100
AOM_001222,Macrotyloma axillare,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_3876;wfo-0000181770
AOM_001224,Medicago,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_3877;wfo-4000023435
AOM_001226,Medicago arborea,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;ttp://purl.obolibrary.org/obo/NCBITaxon_66807;wfo-0000213419
AOM_001237,Stylosanthes scabra,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_79078;wfo-0000174281
AOM_001239,Tephrosia bracteolata,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_1628388;wfo-0000201770
AOM_001243,Vicia dasycarpa,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_2684522;wfo-0000214373
AOM_001251,Cassava Waste,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01520;http://purl.obolibrary.org/obo/NCBITaxon_3983;wfo-0000235507
AOM_001254,Groundnut Cake,research_public_ontology,agrovoc;cpc-component;cpc-product;ncbi-taxonomy;world-flora-online,0142;2191;http://aims.fao.org/aos/agrovoc/c_35679;http://purl.obolibrary.org/obo/NCBITaxon_3818;wfo-0000174378
AOM_001255,Flaxseed Oil,research_taxon_insufficient_for_material,ncbi-taxonomy;world-flora-online,http://purl.obolibrary.org/obo/NCBITaxon_4006;wfo-0000366385
AOM_001258,Common Bean Haulm,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01701;http://purl.obolibrary.org/obo/NCBITaxon_3885;wfo-0000207144
