subject_id,target_scheme,target_id,target_uri,original_value,evidence,status
AOM_004002,feedipedia,11628,https://www.feedipedia.org/node/11628,https://www.feedipedia.org/node/11628,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000654,agrovoc,c_4838,http://aims.fao.org/aos/agrovoc/c_4838,http://aims.fao.org/aos/agrovoc/c_4838,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000654,ncbi-taxonomy,NCBITaxon_4543,http://purl.obolibrary.org/obo/NCBITaxon_4543,http://purl.obolibrary.org/obo/NCBITaxon_4543,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000654,feedipedia,11688,https://www.feedipedia.org/node/11688,https://www.feedipedia.org/node/11688,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000654,cpc-product,0118,,0118,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001334,agrovoc,c_4838,http://aims.fao.org/aos/agrovoc/c_4838,http://aims.fao.org/aos/agrovoc/c_4838,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001334,ncbi-taxonomy,NCBITaxon_4543,http://purl.obolibrary.org/obo/NCBITaxon_4543,http://purl.obolibrary.org/obo/NCBITaxon_4543,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001334,world-flora-online,wfo-0000888897,,wfo-0000888897,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001334,feedipedia,11688,https://www.feedipedia.org/node/11688,https://www.feedipedia.org/node/11688,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000664,agrovoc,c_9022,http://aims.fao.org/aos/agrovoc/c_9022,http://aims.fao.org/aos/agrovoc/c_9022,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000664,agrovoc,c_4656,http://aims.fao.org/aos/agrovoc/c_4656,http://aims.fao.org/aos/agrovoc/c_4656,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
